name,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,number_H,number_C,number_N,number_O,number_F,number_Cl,number_V,number_Cu,number_Zn,number_Br,number_Zr,adsorption,number_Metal,number_1,number_2
hMOF-30983,16.992694,8.559649,15.455313,92.289439,87.142206,80.223444,4.75,3.75,0.461963,648.3,977.7,18,56,12,16,0,18,0,4,0,0,0,3.59545,4,20,74
hMOF-12046,19.077105,12.759394,19.076929,92.27126,90.0783,87.711291,6.25,4.75,0.53935,1440.9,1500,18,118,38,26,0,0,0,0,8,0,0,3.01211,8,34,136
hMOF-907,12.759401,12.7594,12.759393,90.031564,89.981504,89.985155,9.25,7.75,0.688298,2450.7,2133.5,11,30,0,13,0,7,0,0,4,0,0,2.42386,4,17,41
hMOF-30728,9.065218,8.597304,7.540329,82.296522,89.996962,85.17281,6.25,5.25,0.541251,1597.6,1871,6,10,2,8,0,0,0,2,0,0,0,1.15091,2,10,16
hMOF-28290,10.65455,16.109301,9.130313,89.99406,89.999724,83.973206,6.75,6.25,0.633756,2190.8,1904.3,36,36,2,12,0,0,0,2,0,0,0,3.14218,2,14,72
hMOF-5037617,14.519731,14.519731,11.892095,86.093342,86.097868,96.311147,6.25,5.25,0.617859,2436.2,2121.4,8,48,4,16,0,4,0,0,4,0,0,1.2078,4,20,56
hMOF-5077944,19.188925,17.666332,10.540539,89.995712,96.16598,90.010303,11.75,10.75,0.64716,2402.1,1630.7,80,64,10,21,0,0,0,2,0,0,0,1.15808,2,23,144
hMOF-5017414,12.759401,18.050589,12.759393,89.970429,89.981287,90.029746,7.25,6.25,0.644185,2675,2151.5,19,65,11,13,0,0,0,0,4,0,0,1.73024,4,17,84
hMOF-5021385,15.297475,19.121063,15.29672,101.616247,91.617114,83.156694,7.75,6.75,0.570233,1514.3,1528.1,32,116,20,26,0,0,0,0,8,0,0,3.73385,8,34,148
hMOF-5040883,14.04422,14.04419,13.596369,89.989293,89.999747,93.190328,6.25,4.25,0.688402,4279.5,2977.9,12,42,4,18,0,0,0,0,4,0,0,0.970207,4,22,54
hMOF-6001057,6.8179,8.749629,14.858572,93.94566,104.524003,105.181975,4.25,3.25,0.197332,86.1,142.4,4,24,0,20,0,0,4,0,0,0,0,0.769114,4,24,28
hMOF-24853,12.837943,10.654541,11.892095,93.927124,85.689438,89.656434,7.75,6.75,0.819267,1027.4,1944,6,36,2,8,0,0,0,0,2,14,0,4.2273,2,10,42
hMOF-5028980,25.639239,16.625548,16.625539,89.979432,90.031255,89.960246,9.75,8.75,0.824381,4571.6,2521.8,34,88,14,34,0,0,0,0,8,0,0,0.912718,8,42,122
hMOF-5019473,12.594517,18.050589,12.594509,89.972304,89.978673,90.028021,10.25,9.75,0.716774,3685.1,2393.7,18,34,16,13,0,0,0,0,4,0,0,0.761594,4,17,52
hMOF-5029755,25.639239,19.121102,19.120904,89.911827,92.410104,92.407118,7.75,5.75,0.696164,2601.1,2014.3,156,210,6,51,0,0,0,0,12,0,0,4.26597,12,63,366
hMOF-8186,8.497374,11.169417,11.169416,89.988781,89.9949,90.000212,3.25,2.25,0.0827896,0,0,0,20,0,26,0,0,0,0,8,0,0,0,8,34,20
hMOF-3722,18.215407,19.077068,18.215399,87.731836,90.019833,92.327501,5.25,3.25,0.511869,1077,1410,32,152,8,52,0,32,0,0,16,0,0,5.08311,16,68,184
hMOF-23042,10.654539,11.892095,10.654554,86.072507,95.516339,86.06098,6.75,5.75,0.566822,1879.1,1758.2,18,28,2,15,0,0,0,0,2,0,0,1.3768,2,17,46
hMOF-5060381,12.784905,11.792241,11.295483,94.123059,86.327249,78.650367,8.25,7.25,0.725863,2838.6,2311.7,6,26,2,8,0,6,0,2,0,0,0,1.17413,2,10,32
hMOF-6001969,6.8179,11.102188,10.992743,91.885552,108.770538,108.603875,2.25,1.75,0.00148361,0,0,40,54,0,10,0,0,2,0,0,0,0,0,2,12,94
